signal_idx,entry_time,date,strategy,direction,reason,level,spread_moves,body_moves,recent_moves,entry,stop,target,exit_price,exit_time,outcome,pnl_moves,hold_minutes,ambiguous_same_candle
62,2026-06-02 04:02:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 36.0 moves from recent low + green candle,1.16293,4.0,14.0,22.5,1.16331,1.16313,1.16361,1.16361,2026-06-02 04:13:00+03:00,WIN,30.0,11,False
105,2026-06-02 04:45:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 38.5 moves from recent high + red candle,1.16353,3.0,15.0,14.5,1.16313,1.16331,1.16283,1.16311,2026-06-02 05:05:00+03:00,WIN,2.0,20,False
366,2026-06-02 09:06:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 39.0 moves from recent low + green candle,1.1637,6.0,23.5,29.0,1.16412,1.16394,1.16442,1.16442,2026-06-02 09:11:00+03:00,WIN,30.0,5,False
385,2026-06-02 09:25:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 36.5 moves impulse,1.16475,4.0,24.0,36.5,1.16498,1.1648,1.16528,1.1648,2026-06-02 09:44:00+03:00,LOSS,-18.0,19,False
404,2026-06-02 09:44:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 36.5 moves from recent high + red candle,1.16519,5.0,23.0,27.5,1.1648,1.16498,1.1645,1.16498,2026-06-02 09:47:00+03:00,LOSS,-18.0,3,False
490,2026-06-02 11:10:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 43.0 moves from recent high + red candle,1.16526,2.0,19.0,25.0,1.16482,1.165,1.16452,1.16452,2026-06-02 11:23:00+03:00,WIN,30.0,13,False
543,2026-06-02 12:03:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 37.0 moves from recent high + red candle,1.16444,2.0,14.5,19.0,1.16406,1.16424,1.16376,1.16424,2026-06-02 12:20:00+03:00,LOSS,-18.0,17,False
605,2026-06-02 13:05:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 43.5 moves from recent low + green candle,1.16411,4.0,21.5,29.5,1.16456,1.16438,1.16486,1.16438,2026-06-02 13:06:00+03:00,LOSS,-18.0,1,False
616,2026-06-02 13:16:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 37.0 moves from recent high + red candle,1.16451,4.0,16.0,33.0,1.16412,1.1643,1.16382,1.1643,2026-06-02 13:34:00+03:00,LOSS,-18.0,18,False
699,2026-06-02 14:39:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 38.0 moves from recent low + green candle,1.16464,5.0,13.0,34.5,1.16504,1.16486,1.16534,1.16492,2026-06-02 14:59:00+03:00,LOSS,-12.0,20,False
736,2026-06-02 15:16:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 47.5 moves from recent low + green candle,1.16476,3.0,33.5,32.0,1.16525,1.16507,1.16555,1.16507,2026-06-02 15:18:00+03:00,LOSS,-18.0,2,False
750,2026-06-02 15:30:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 35.0 moves from recent high + red candle,1.1654,4.0,18.0,24.0,1.16503,1.16521,1.16473,1.16521,2026-06-02 15:33:00+03:00,LOSS,-18.0,3,False
763,2026-06-02 15:43:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 48.0 moves from recent high + red candle,1.16557,2.0,16.5,12.0,1.16508,1.16526,1.16478,1.16526,2026-06-02 16:02:00+03:00,LOSS,-18.0,19,False
788,2026-06-02 16:08:00+03:00,2026-06-02,Fast Impulse Breakout,SELL,Break below 20m low + 37.0 moves impulse,1.16493,1.0,45.0,37.0,1.16476,1.16494,1.16446,1.16494,2026-06-02 16:09:00+03:00,LOSS,-18.0,1,False
812,2026-06-02 16:32:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 53.0 moves from recent high + red candle,1.165,3.0,24.0,27.5,1.16446,1.16464,1.16416,1.16464,2026-06-02 16:35:00+03:00,LOSS,-18.0,3,False
827,2026-06-02 16:47:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 54.5 moves from recent high + red candle,1.16481,1.0,14.5,33.5,1.16426,1.16444,1.16396,1.16444,2026-06-02 16:58:00+03:00,LOSS,-18.0,11,False
840,2026-06-02 17:00:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 55.0 moves from recent high + red candle,1.16446,4.0,46.0,22.0,1.16389,1.16407,1.16359,1.16407,2026-06-02 17:02:00+03:00,LOSS,-18.0,2,False
860,2026-06-02 17:20:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 49.5 moves from recent high + red candle,1.16437,1.0,12.5,29.0,1.16387,1.16405,1.16357,1.16405,2026-06-02 17:29:00+03:00,LOSS,-18.0,9,False
875,2026-06-02 17:35:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 62.5 moves from recent low + green candle,1.16383,2.0,14.0,34.5,1.16446,1.16428,1.16476,1.16476,2026-06-02 17:41:00+03:00,WIN,30.0,6,False
890,2026-06-02 17:50:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 58.5 moves from recent high + red candle,1.165,2.0,15.5,16.5,1.1644,1.16458,1.1641,1.16458,2026-06-02 17:52:00+03:00,LOSS,-18.0,2,False
902,2026-06-02 18:02:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 44.5 moves from recent high + red candle,1.16465,3.0,17.5,27.0,1.16419,1.16437,1.16389,1.16389,2026-06-02 18:05:00+03:00,WIN,30.0,3,False
925,2026-06-02 18:25:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 36.0 moves from recent high + red candle,1.16452,3.0,22.0,14.0,1.16415,1.16433,1.16385,1.16385,2026-06-02 18:27:00+03:00,WIN,30.0,2,False
960,2026-06-02 19:00:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 41.0 moves from recent high + red candle,1.16414,1.0,33.5,31.0,1.16373,1.16391,1.16343,1.16391,2026-06-02 19:07:00+03:00,LOSS,-18.0,7,False
979,2026-06-02 19:19:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 37.0 moves from recent high + red candle,1.16382,4.0,13.5,31.0,1.16343,1.16361,1.16313,1.16313,2026-06-02 19:29:00+03:00,WIN,30.0,10,False
989,2026-06-02 19:29:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 42.5 moves from recent high + red candle,1.1635,2.0,15.5,34.5,1.16306,1.16324,1.16276,1.16276,2026-06-02 19:41:00+03:00,WIN,30.0,12,False
1029,2026-06-02 20:09:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 36.5 moves from recent high + red candle,1.16298,3.0,15.0,11.0,1.1626,1.16278,1.1623,1.16245,2026-06-02 20:29:00+03:00,WIN,15.0,20,False
1098,2026-06-02 21:18:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 36.5 moves from recent high + red candle,1.16193,1.0,24.5,31.0,1.16156,1.16174,1.16126,1.16174,2026-06-02 21:22:00+03:00,LOSS,-18.0,4,False
1110,2026-06-02 21:30:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 91.0 moves from recent low + green candle,1.16135,1.0,20.0,18.0,1.16227,1.16209,1.16257,1.16257,2026-06-02 21:39:00+03:00,WIN,30.0,9,False
1126,2026-06-02 21:46:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 37.0 moves from recent low + green candle,1.16236,4.0,13.5,14.0,1.16275,1.16257,1.16305,1.16298,2026-06-02 22:06:00+03:00,WIN,23.0,20,False
1280,2026-06-03 03:21:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 40.5 moves from recent low + green candle,1.16224,1.0,16.0,30.0,1.16265,1.16247,1.16295,1.16295,2026-06-03 03:40:00+03:00,WIN,30.0,19,False
1376,2026-06-03 04:57:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 35.0 moves impulse,1.16292,4.0,18.5,35.0,1.16275,1.16293,1.16245,1.16293,2026-06-03 04:59:00+03:00,LOSS,-18.0,2,False
1586,2026-06-03 08:27:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 42.0 moves from recent high + red candle,1.16269,2.0,14.5,27.5,1.16226,1.16244,1.16196,1.16229,2026-06-03 08:47:00+03:00,LOSS,-3.0,20,False
1628,2026-06-03 09:09:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 39.0 moves impulse,1.16186,3.0,24.5,39.0,1.16178,1.16196,1.16148,1.16148,2026-06-03 09:11:00+03:00,WIN,30.0,2,False
1642,2026-06-03 09:23:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 42.5 moves impulse,1.16145,4.0,14.5,42.5,1.1613,1.16148,1.161,1.16148,2026-06-03 09:26:00+03:00,LOSS,-18.0,3,False
1676,2026-06-03 09:57:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 35.5 moves from recent low + green candle,1.16133,4.0,12.5,18.5,1.1617,1.16152,1.162,1.16152,2026-06-03 10:00:00+03:00,LOSS,-18.0,3,False
1689,2026-06-03 10:10:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 41.0 moves impulse,1.16174,5.0,19.5,41.0,1.16188,1.1617,1.16218,1.1617,2026-06-03 10:23:00+03:00,LOSS,-18.0,13,False
1708,2026-06-03 10:29:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 50.5 moves from recent high + red candle,1.16189,2.0,14.0,29.0,1.16138,1.16156,1.16108,1.16156,2026-06-03 10:32:00+03:00,LOSS,-18.0,3,False
1719,2026-06-03 10:40:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 77.0 moves from recent high + red candle,1.16246,2.0,17.0,42.0,1.16168,1.16186,1.16138,1.16186,2026-06-03 10:42:00+03:00,LOSS,-18.0,2,False
1737,2026-06-03 10:58:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 61.5 moves from recent high + red candle,1.16223,3.0,17.5,50.5,1.1616,1.16178,1.1613,1.1613,2026-06-03 11:11:00+03:00,WIN,30.0,13,False
1754,2026-06-03 11:15:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 47.5 moves from recent high + red candle,1.16151,1.0,17.5,31.0,1.16103,1.16121,1.16073,1.16121,2026-06-03 11:18:00+03:00,LOSS,-18.0,3,False
1771,2026-06-03 11:32:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 37.0 moves from recent high + red candle,1.16155,2.0,20.5,0.0,1.16117,1.16135,1.16087,1.16087,2026-06-03 11:39:00+03:00,WIN,30.0,7,False
